Year	LowFreq_Hz	HighFreq_Hz	PeakFreq_Hz	DeltaFreq_Hz	DeltaTime_s	PFC_Num_Inf_Pts
Pre-Lockdown	3745.1	23610.4	7742.7	19865.3	1.134	175
Pre-Lockdown	1016.2	23372.6	1125	22356.4	1.507	284
Lockdown	12777	23223	15656.2	10446	0.774	44
Lockdown	16866.9	23088.3	17156.2	6221.4	1.086	77
Pre-Lockdown	1254.5	22999.1	3656.2	21744.6	2.631	347
Pre-Lockdown	5651.4	22605.7	12695.3	16954.3	1.271	384
Pre-Lockdown	5663.7	22088.5	10500	16424.8	1.004	419
Pre-Lockdown	5008.1	22005.2	10253.9	16997.1	1.224	155
Pre-Lockdown	5532.8	21926.2	7324.2	16393.4	0.611	314
Lockdown	4489.2	21901.9	10125	17412.7	1.929	83
Pre-Lockdown	4054.5	21894.4	4882.8	17839.9	0.487	243
Lockdown	15385.7	21814.3	16875	6428.6	0.678	68
Pre-Lockdown	7646	21805.3	8250	14159.3	0.109	34
Pre-Lockdown	2681	21782.8	6347.7	19101.8	2.542	1165
Pre-Lockdown	7106.6	21764	13183.6	14657.4	0.171	91
Pre-Lockdown	3104.5	21731.3	18750	18626.9	1.376	454
Pre-Lockdown	5253.7	21731.3	9000	16477.6	1.01	266
Lockdown	7362.7	21681.4	10125	14318.6	0.663	71
Pre-Lockdown	3964.6	21522.1	9375	17557.5	0.687	212
Pre-Lockdown	9550.9	21447.7	18066.4	11896.8	0.444	149
Pre-Lockdown	7911.4	21360.8	20507.8	13449.4	1.083	441
Pre-Lockdown	3317	21290.3	4640.6	17973.4	2.185	304
Lockdown	8236.5	21280.8	14531.2	13044.3	0.767	39
Lockdown	7159.3	21193.2	9468.8	14033.9	1.029	86
Pre-Lockdown	3065.7	21131.1	10687.5	18065.4	2.693	236
Lockdown	4345.5	21129.6	7781.2	16784.1	1.106	42
Pre-Lockdown	8955.2	21108.7	15234.4	12153.5	0.63	122
Pre-Lockdown	3882.7	21012.2	6835.9	17129.5	0.463	149
Pre-Lockdown	2068.6	20981.1	16601.6	18912.5	1.133	621
Lockdown	5874.1	20979	10875	15104.9	0.99	67
Pre-Lockdown	6352.5	20901.6	8789.1	14549.2	2.346	1176
Lockdown	4555.9	20827.1	10781.2	16271.2	1.146	77
Lockdown	6833.9	20827.1	13593.8	13993.2	0.733	63
Lockdown	10372.9	20786.4	10781.2	10413.6	0.679	59
Pre-Lockdown	4537.3	20776.1	10875	16238.8	0.854	323
Lockdown	7972	20769.2	9843.8	12797.2	0.66	41
Pre-Lockdown	5978	20709.3	9765.6	14731.3	0.969	487
Lockdown	6061	20705.1	7406.2	14644.1	1.104	105
Lockdown	5160.8	20685.3	8718.8	15524.5	1.136	21
Lockdown	5355.1	20669.4	7875	15314.3	1.017	67
Lockdown	4669.5	20629.5	11343.8	15960	2.092	137
Pre-Lockdown	3284.6	20583.7	6375	17299	1.278	128
Lockdown	6874.6	20583.1	12000	13708.5	0.866	56
Lockdown	4069.9	20559.4	8906.2	16489.5	0.996	72
Lockdown	5491.5	20501.7	8156.2	15010.2	0.812	67
Pre-Lockdown	13060.9	20450.6	18750	7389.7	0.776	198
Pre-Lockdown	5316.1	20446.5	7875	15130.4	3.854	680
Lockdown	8139.9	20349.7	15093.8	12209.8	1.009	71
Lockdown	6377.6	20349.7	11250	13972	1.317	84
Pre-Lockdown	5387.8	20326.5	7500	14938.8	0.271	95
Pre-Lockdown	5970.1	20298.5	7500	14328.4	0.963	238
Pre-Lockdown	3379.1	20274.4	3656.2	16895.3	2.403	384
Pre-Lockdown	3832.1	20255.2	9750	16423.1	1.112	158
Lockdown	10153.8	20223.8	16875	10069.9	1.228	103
Pre-Lockdown	6109.4	20195	9750	14085.6	1.147	193
Pre-Lockdown	4715.4	20191.4	15937.5	15476	0.642	109
Lockdown	4139.4	20153.3	10125	16013.9	1.288	81
